"UserName","HostName","RequestURL","Date","Time","MessageOne","MessageTwo"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/sites/BASICA/css/bootstrap.css.map","4/15/2015","11:16:27 AM","http://localhost:61517/sites/BASICA/css/bootstrap.css.map","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","4/15/2015","11:18:24 AM","http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/__browserLink/requestData/871e61f917894a0e8a832c715b647d13","4/15/2015","11:19:00 AM","http://localhost:61517/__browserLink/requestData/871e61f917894a0e8a832c715b647d13","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/__browserLink/requestData/4bc5c117faab4bcdb953ef7e1db46835","4/15/2015","11:21:57 AM","http://localhost:61517/__browserLink/requestData/4bc5c117faab4bcdb953ef7e1db46835","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/__browserLink/requestData/5e0f6383110d463b999a0bc14bac6a11","4/15/2015","11:36:12 AM","http://localhost:61517/__browserLink/requestData/5e0f6383110d463b999a0bc14bac6a11","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/__browserLink/requestData/5149c97acf2f4404abcfa8d843865497","4/15/2015","11:37:15 AM","http://localhost:61517/__browserLink/requestData/5149c97acf2f4404abcfa8d843865497","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2F&browserName=Chrome&_=1429116847323","4/15/2015","11:54:07 AM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2F&browserName=Chrome&_=1429116847323","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fhome&browserName=Chrome&_=1429121305206","4/15/2015","1:08:25 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fhome&browserName=Chrome&_=1429121305206","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429121642636","4/15/2015","1:14:05 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429121642636","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429121942644","4/15/2015","1:19:05 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429121942644","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429122242655","4/15/2015","1:24:04 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fdefault.aspx&browserName=Chrome&_=1429122242655","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","4/15/2015","2:47:50 PM","http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","4/15/2015","2:51:35 PM","http://localhost:61517/fonts/fontawesome-webfont.woff2?v=4.3.0","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fmaint%2Fdefault.aspx%3Ftype%3DLocation%26LocationID%3D764&browserName=Chrome&_=1429127735306","4/15/2015","2:55:38 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fadmin%2Fmaint%2Fdefault.aspx%3Ftype%3DLocation%26LocationID%3D764&browserName=Chrome&_=1429127735306","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fblog%2Fmy-first-blog-post&browserName=Chrome&_=1429127958747","4/15/2015","3:01:11 PM","http://localhost:61517/af45fbc91ab8457ba1df8d76f532863a/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fblog%2Fmy-first-blog-post&browserName=Chrome&_=1429127958747","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/942a88a6884f4f3385cd97c602885885/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fmy-second-blog-post&browserName=Chrome&_=1429134344176","4/15/2015","4:45:44 PM","http://localhost:61517/942a88a6884f4f3385cd97c602885885/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fmy-second-blog-post&browserName=Chrome&_=1429134344176","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx","4/15/2015","4:52:28 PM","","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/404.ashx","4/15/2015","4:52:28 PM","http://localhost:61517/404.ashx","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/942a88a6884f4f3385cd97c602885885/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fblog%2Fmy-first-blog-post&browserName=Chrome&_=1429135640442","4/15/2015","5:07:20 PM","http://localhost:61517/942a88a6884f4f3385cd97c602885885/arterySignalR/ping?requestUrl=http%3A%2F%2Flocalhost%3A61517%2Fblog%2Fmy-first-blog-post&browserName=Chrome&_=1429135640442","404.ProcessRequest"
"","localhost","http://localhost:61517/404.ashx?404;http://localhost:61517/blog/my-second-blog-post","4/15/2015","5:09:49 PM","http://localhost:61517/blog/my-second-blog-post","404.ProcessRequest"
